Id,Name,Property_type,Room_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Host_id,Host_name,Availability_30,Availability_60,Availability_90,Availability_365,Country,Longitude,Latitude,City
10057826,Deluxe Loft Suite,Apartment,Entire home/apt,3,1125,strict_14_with_grace_period,4,1.3226863226863228,2.0,205,271.6562150055991,116.97643732327991,0.0,1.0,5,94,47554473,Mae,30,31,31,243,United States,-73.94472,40.72778,Brooklyn
10051164,Catete's Colonial Big Hause Room B,House,Private room,2,1125,strict_14_with_grace_period,8,1.0,8.0,250,1204.209631728045,154.4988066825776,40.0,4.0,1,95,51326285,Beatriz,10,10,21,296,Brazil,-43.18015675229857,-22.92638234778768,Rio de Janeiro
10009999,Horto flat with small garden,Apartment,Entire home/apt,2,1125,flexible,4,1.0,2.0,317,1204.209631728045,154.4988066825776,0.0,1.0,0,95,1282196,Ynaie,0,0,0,0,Brazil,-43.23074991429229,-22.966253551739655,Rio de Janeiro
10021707,Private Room in Bushwick,Apartment,Private room,14,1125,flexible,1,1.3226863226863228,1.0,40,271.6562150055991,116.97643732327991,0.0,1.0,1,94,11275734,Josh,0,0,0,0,United States,-73.93615,40.69791,Brooklyn
10057447,Modern Spacious 1 Bedroom Loft,Apartment,Entire home/apt,1,1125,flexible,4,1.0,2.0,50,324.84578313253013,50.470715835141,31.0,1.0,0,93,51612949,Konstantin,0,0,0,0,Canada,-73.59111,45.51889,Montreal
1001265,Ocean View Waikiki Marina w/prkg,Condominium,Entire home/apt,3,365,strict_14_with_grace_period,2,1.3226863226863228,1.0,115,271.6562150055991,116.97643732327991,0.0,1.0,96,94,5448114,David,16,46,76,343,United States,-157.83919,21.28634,Honolulu
1003530,New York City - Upper West Side Apt,Apartment,Private room,12,360,strict_14_with_grace_period,2,1.3226863226863228,1.0,135,271.6562150055991,116.97643732327991,0.0,1.0,70,94,454250,Greta,0,0,0,93,United States,-73.96523,40.79962,New York
10083468,Be Happy in Porto,Loft,Entire home/apt,2,1125,moderate,2,1.5324909747292421,2.408679927667269,30,83.85128205128206,19.04387990762125,0.0,1.0,178,94,27518920,Fábio,16,40,67,335,Portugal,-8.61123,41.15225,Porto
10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,3,75,strict_14_with_grace_period,4,1.0,3.0,119,1204.209631728045,154.4988066825776,40.0,3.0,70,95,51530266,Ana Valéria,7,19,33,118,Brazil,-43.190849194463404,-22.984339360067814,Rio de Janeiro
10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,2,1125,moderate,2,0.0,1.0,43,324.84578313253013,50.470715835141,12.0,1.0,0,93,7140229,Caro,0,0,0,32,Canada,-73.54949,45.54548,Montreal
10006546,Ribeira Charming Duplex,House,Entire home/apt,2,30,moderate,8,1.5324909747292421,2.408679927667269,80,83.85128205128206,19.04387990762125,15.0,6.0,51,94,51399391,Ana&Gonçalo,28,47,74,239,Portugal,-8.61308,41.1413,Porto
10030955,Apt Linda Vista Lagoa - Rio,Apartment,Private room,1,1125,flexible,2,1.0,1.0,701,1204.209631728045,154.4988066825776,0.0,1.0,0,95,51496939,Livia,28,58,88,363,Brazil,-43.205047082633435,-22.971950988341874,Rio de Janeiro
10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,4,20,flexible,3,1.0,1.7395659432387311,699,1424.055718475073,179.45801526717557,0.0,1.0,3,91,51624384,Giovanni,0,0,0,0,Hong Kong,114.15027,22.28158,Hong Kong
10047964,Charming Flat in Downtown Moda,House,Entire home/apt,2,1125,flexible,6,1.3490136570561457,1.9816232771822357,527,726.4401913875598,82.5373665480427,211.0,1.0,1,92,1241644,Zeynep,27,57,87,362,Turkey,29.03133,40.98585,Kadikoy
10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,1,1125,flexible,6,3.0,3.0,140,324.84578313253013,50.470715835141,0.0,1.0,0,93,9036477,Margaux,0,0,0,0,Canada,-73.57383,45.52233,Montreal
10082422,Nice room in Barcelona Center,Apartment,Private room,1,9,flexible,2,1.0,2.0,50,242.726862302483,43.026209677419345,0.0,1.0,0,91,30393403,Anna,0,0,0,0,Spain,2.16942,41.40082,Barcelona
10069642,Ótimo Apto proximo Parque Olimpico,Apartment,Entire home/apt,15,20,strict_14_with_grace_period,5,2.0,2.0,858,1204.209631728045,154.4988066825776,75.0,1.0,0,95,51670240,Jonathan,0,0,0,0,Brazil,-43.4311123147628,-23.00035792660916,Rio de Janeiro
10082307,Double Room en-suite (307),Apartment,Private room,1,1125,strict_14_with_grace_period,2,1.0,1.7395659432387311,361,1424.055718475073,179.45801526717557,130.0,2.0,0,91,51289938,Ken,30,60,90,365,Hong Kong,114.17158,22.30469,Hong Kong
10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,10,21,strict_14_with_grace_period,2,1.5599343185550083,2.0148026315789473,181,433.06265060240975,90.51914893617023,0.0,1.0,64,93,13764143,Ben,0,0,0,0,Australia,151.21554,-33.88029,Surry Hills
10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,1,1125,moderate,3,1.3490136570561457,1.9816232771822357,121,726.4401913875598,82.5373665480427,0.0,1.0,29,92,52004703,Mehmet Emin,30,60,90,365,Turkey,28.98009,41.0062,Fatih
10220130,Cozy aptartment in Recreio (near Olympic Venues),Apartment,Entire home/apt,2,30,flexible,6,3.0,3.0,746,1204.209631728045,154.4988066825776,187.0,4.0,0,95,31553171,José Augusto,0,0,0,0,Brazil,-43.45296045334386,-23.008710784460312,Rio de Janeiro
10109896,THE Place to See Sydney's FIREWORKS,House,Entire home/apt,2,1125,moderate,2,1.5599343185550083,2.0148026315789473,250,433.06265060240975,90.51914893617023,0.0,1.0,0,93,6517277,Kristin,0,0,0,0,Australia,151.17956,-33.86296,Rozelle
10120414,The LES Apartment,Apartment,Entire home/apt,3,1125,flexible,3,1.3226863226863228,1.0,150,271.6562150055991,116.97643732327991,0.0,1.0,0,94,33231070,Mert,0,0,0,0,United States,-73.98944,40.72063,New York
10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,1,1125,strict_14_with_grace_period,4,1.3490136570561457,1.9816232771822357,838,726.4401913875598,82.5373665480427,0.0,1.0,3,92,51471538,Ahmet,30,60,90,365,Turkey,28.98713,41.04841,Sisli
10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,1,1125,moderate,2,1.5324909747292421,2.408679927667269,40,83.85128205128206,19.04387990762125,25.0,2.0,0,94,2649859,Elisabete,30,60,87,359,Portugal,-8.60867,41.1543,Porto
10084023,City center private room with bed,Guesthouse,Private room,1,500,strict_14_with_grace_period,1,1.0,1.7395659432387311,181,1424.055718475073,179.45801526717557,100.0,1.0,81,91,51744313,Yi,14,24,40,220,Hong Kong,114.1669,22.3314,Hong Kong
10108388,Sydney Hyde Park City Apartment (checkin from 6am),Apartment,Entire home/apt,2,30,moderate,2,1.5599343185550083,2.0148026315789473,185,433.06265060240975,90.51914893617023,0.0,1.0,109,93,16187044,Desireé,5,16,35,265,Australia,151.21346,-33.87603,Darlinghurst
10215858,Cozy Queen Guest Room&My,Apartment,Private room,1,500,strict_14_with_grace_period,2,1.0,1.7395659432387311,330,1424.055718475073,179.45801526717557,0.0,1.0,9,91,52473150,Danny,20,50,80,135,Hong Kong,114.17034,22.31655,Hong Kong
10233856,Twin Bed room+MTR Mongkok shopping&My,Apartment,Private room,1,500,strict_14_with_grace_period,3,1.0,1.7395659432387311,400,1424.055718475073,179.45801526717557,0.0,1.0,22,91,52473150,Danny,30,60,90,145,Hong Kong,114.17073,22.31723,Hong Kong
10240767,Cozy double bed room 東涌鄉村雅緻雙人房,Guesthouse,Private room,1,1125,moderate,2,1.0,1.7395659432387311,487,1424.055718475073,179.45801526717557,0.0,1.0,162,91,52491634,Ricky,18,41,67,339,Hong Kong,113.92823,22.27671,Hong Kong
10201975,Ipanema: moderno apê 2BR + garagem,Apartment,Entire home/apt,4,1125,strict_14_with_grace_period,4,2.0,2.0,298,1204.209631728045,154.4988066825776,50.0,2.0,24,95,2537111,Barbara,24,54,84,174,Brazil,-43.1998455458952,-22.980051683700506,Rio de Janeiro
10166986,Resort-like living in Williamsburg,Apartment,Entire home/apt,5,1125,strict_14_with_grace_period,4,1.3226863226863228,2.0,220,271.6562150055991,116.97643732327991,0.0,1.0,1,94,14461742,Mohammed,0,0,0,0,United States,-73.93869,40.71552,Brooklyn
10133350,2 bedroom Upper east side,Apartment,Entire home/apt,2,7,strict_14_with_grace_period,5,1.3226863226863228,2.0,275,271.6562150055991,116.97643732327991,0.0,1.0,9,94,52004369,Chelsea,0,0,0,0,United States,-73.95854,40.7664,New York
10228731,Quarto inteiro na Tijuca,Apartment,Private room,1,15,flexible,1,1.0,1.0,149,1204.209631728045,154.4988066825776,0.0,1.0,1,95,12673423,Gilberto,28,58,88,178,Brazil,-43.247421907135774,-22.936203246553816,Rio de Janeiro
